Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Open Water Swimming,2025-08-18 07:14:15,false,"Florianópolis Open Water Swimming","1,998","478","00:45:52","140","163","2.9","2:18","0:44","0.0","980","47","21","-8","16.0","No","00:10:24","4","23.0","00:39:36","00:45:52"
Pool Swim,2025-08-15 19:49:46,false,"Pool Swim","1,500","417","00:30:02","147","161","3.1","2:00","0:49","0.0","683","41","23","--","--","No","00:30:02","1","--","00:30:02","00:30:13"
Open Water Swimming,2025-08-15 08:29:53,false,"Florianópolis Open Water Swimming","2,048","249","00:40:30","111","149","1.6","1:59","1:08","0.0","817","40","20","-4","16.0","No","00:00:57.5","5","28.0","00:36:52","00:40:30"
Pool Swim,2025-08-13 19:45:41,false,"Pool Swim","2,325","650","00:45:28","153","180","3.5","1:56","0:50","0.0","1057","40","23","--","--","No","00:45:28","1","--","00:44:59","00:45:41"
Open Water Swimming,2025-08-13 07:17:25,false,"Florianópolis Open Water Swimming","2,008","382","00:42:13","130","156","2.5","2:06","1:07","0.0","697","40","16","-4","16.0","No","00:00:07.8","5","24.0","00:37:57","00:42:13"
Pool Swim,2025-08-11 19:47:49,false,"Pool Swim","2,300","509","00:41:15","149","179","3.4","1:47","1:12","0.0","924","37","23","--","--","No","00:41:15","1","--","00:40:57","00:41:21"
Open Water Swimming,2025-08-11 07:14:26,false,"Florianópolis Open Water Swimming","1,833","431","00:48:15","128","154","2.4","2:38","0:58","0.0","911","52","19","-5","16.0","No","00:06:59.4","4","24.0","00:37:30","00:48:15"
Pool Swim,2025-08-08 19:15:12,false,"Pool Swim","3,000","508","00:54:54","130","149","2.4","1:48","1:08","0.0","1282","38","24","--","--","No","00:54:54","1","--","00:54:15","00:55:03"
Pool Swim,2025-08-06 19:49:42,false,"Pool Swim","2,200","402","00:40:02","128","147","2.2","1:49","0:53","0.0","914","38","23","--","--","No","00:40:02","1","--","00:40:02","00:40:13"
Open Water Swimming,2025-08-06 07:14:07,false,"Florianópolis Open Water Swimming","2,045","414","00:50:09","128","147","2.3","2:27","1:07","0.0","1181","51","23","-8","17.0","No","00:00:45.8","5","22.0","00:45:07","00:50:09"
Pool Swim,2025-08-01 19:31:16,false,"Pool Swim","2,350","564","00:45:04","145","161","3.1","1:53","0:50","0.0","977","39","22","--","--","No","00:45:04","1","--","00:44:14","00:45:09"
Open Water Swimming,2025-08-01 07:18:47,false,"Florianópolis Open Water Swimming","1,817","376","00:42:07","134","163","2.7","2:19","1:11","0.0","689","44","16","-6","16.0","No","00:07:14.1","4","20.0","00:35:44","00:42:07"
Open Water Swimming,2025-07-31 08:27:31,false,"Florianópolis Open Water Swimming","1,926","347","00:48:15","124","179","2.2","2:30","0:50","0.0","744","47","15","-5","16.0","No","00:09:49.4","4","24.0","00:42:15","00:48:15"
Pool Swim,2025-07-30 19:37:29,false,"Pool Swim","2,925","724","00:51:24","155","180","4.0","1:45","1:14","0.0","1183","36","23","--","--","No","00:51:24","1","--","00:51:24","00:51:39"
Pool Swim,2025-07-29 19:25:02,false,"Pool Swim","3,025","736","01:01:06","145","168","3.6","1:56","1:02","0.0","1379","40","24","--","--","No","00:00:31.7","2","--","00:58:35","01:01:17"
Pool Swim,2025-07-28 19:34:10,false,"Pool Swim","2,800","494","00:56:29","122","164","2.2","1:52","0:49","0.0","1226","39","24","--","--","No","00:56:29","1","--","00:52:08","00:56:39"
Open Water Swimming,2025-07-28 07:16:04,false,"Florianópolis Open Water Swimming","2,228","395","00:49:55","128","165","2.6","2:14","1:18","0.0","893","44","18","-8","16.0","No","00:05:24.0","5","23.0","00:43:19","00:49:55"
Pool Swim,2025-07-25 19:06:42,false,"Pool Swim","5,025","789","01:25:48","122","138","2.2","1:42","0:56","0.0","2071","36","24","--","--","No","01:25:48","1","--","01:25:48","01:25:55"
Pool Swim,2025-07-23 19:29:31,false,"Pool Swim","2,200","513","00:46:41","146","174","3.4","2:01","0:50","0.0","1053","42","24","--","--","No","00:46:41","1","--","00:44:31","00:46:55"
Open Water Swimming,2025-07-23 07:16:35,false,"Florianópolis Open Water Swimming","1,733","381","00:43:46","129","151","2.4","2:32","1:07","0.0","834","50","19","-7","17.0","No","00:05:18.4","4","22.0","00:36:29","00:43:46"
Pool Swim,2025-07-22 19:46:53,false,"Pool Swim","2,175","559","00:44:46","155","174","3.8","2:02","0:59","0.0","1039","42","24","--","--","No","00:44:46","1","--","00:44:05","00:45:07"
Pool Swim,2025-07-21 19:36:27,false,"Pool Swim","2,375","570","00:52:56","145","187","3.6","2:01","0:58","0.0","1104","42","23","--","--","No","00:52:56","1","--","00:47:46","00:53:08"
Pool Swim,2025-07-18 19:36:48,false,"Pool Swim","2,775","752","00:55:02","152","181","3.9","1:58","1:00","0.0","1273","41","23","--","--","No","00:55:02","1","--","00:54:36","00:55:45"
Open Water Swimming,2025-07-16 07:15:06,false,"Florianópolis Open Water Swimming","1,921","525","00:45:34","151","184","3.6","2:22","1:19","0.0","804","46","17","-11","17.0","No","00:09:47.2","4","24.0","00:42:36","00:45:34"
Pool Swim,2025-07-14 19:34:08,false,"Pool Swim","3,025","799","00:57:10","148","174","3.8","1:53","1:21","0.0","1320","39","23","--","--","No","00:57:10","1","--","00:56:51","00:57:21"
Open Water Swimming,2025-07-14 07:17:46,false,"Florianópolis Open Water Swimming","2,515","554","00:57:55","140","171","3.2","2:18","0:19","0.0","798","42","14","-11","17.0","No","00:00:02.5","6","23.0","00:47:39","00:57:55"
Pool Swim,2025-07-13 13:28:55,false,"Pool Swim","75","15","00:01:32.2","124","133","0.2","1:24","0:57","0.0","20","28","19","--","--","No","00:01:32.2","1","--","00:01:03.2","00:01:37.8"
